date_month,quant_sell,customer_id
2015-02,202,591282
2015-02,56,591326
2015-02,724,591280
2015-02,95,591544
2015-02,137,591416
2015-02,21,1065041
2015-02,88,591379
2015-02,233,591273
2015-02,70,615250
2015-02,48,591311
2015-02,151,591264
2015-02,10,591511
2015-02,56,591313
2015-02,73,591418
2015-02,252,591275
2015-02,166,591390
2015-02,290,591385
2015-02,62,591412
2015-02,280,591500
2015-02,56,591319
2015-02,84,591421
2015-02,268,591337
2015-02,98,591502
2015-02,211,591535
2015-02,27,591423
2015-02,160,591392
2015-02,95,591407
2015-02,92,591383
2015-02,13,591322
2015-02,34,591388
2015-02,136,591425
2015-02,54,591537
2015-02,81,591410
2015-02,57,591405
2015-02,74,591533
2015-02,84,1159530
2015-02,70,591260
2015-02,8,591443
2015-02,190,591434
2015-02,56,591284
2015-02,196,591289
2015-02,284,591293
2015-02,28,591361
2015-02,126,591451
2015-02,112,591341
2015-02,232,591300
2015-02,110,591447
2015-02,210,591460
2015-02,148,591438
2015-02,127,1786338
2015-02,233,591355
2015-02,972,591454
2015-02,434,591445
2015-02,692,591291
2015-02,19,591436
2015-02,438,591297
2015-02,350,591456
2015-02,54,591462
2015-02,90,591467
2015-03,424,591508
2015-03,4606,591273
2015-03,996,615248
2015-03,448,591414
2015-03,707,591462
2015-03,266,591511
2015-03,1604,591313
2015-03,4558,591264
2015-03,5591,591295
2015-03,40,591443
2015-03,982,591335
2015-03,1664,591286
2015-03,465,591421
2015-03,376,591467
2015-03,2990,591297
2015-03,16857,591370
2015-03,1474,591385
2015-03,1370,591440
2015-03,354,591504
2015-03,786,591388
2015-03,7526,591275
2015-03,305,1786338
2015-03,824,591506
2015-03,5380,1791262
2015-03,11910,591311
2015-03,445,615250
2015-03,1236,591416
2015-03,420,591465
2015-03,744,591418
2015-03,1431,591390
2015-03,1210,591460
2015-03,14712,591445
2015-03,1042,591403
2015-03,501,591458
2015-03,1162,591451
2015-03,2750,591269
2015-03,5248,591324
2015-03,1184,591359
2015-03,1260,591355
2015-03,1725,591394
2015-03,1280,591267
2015-03,932,591401
2015-03,6562,591454
2015-03,17121,591456
2015-03,1023,591541
2015-03,1047,591399
2015-03,2620,591326
2015-03,18096,591291
2015-03,1337,591539
2015-03,1139,591412
2015-03,884,591544
2015-03,896,591330
2015-03,1760,591319
2015-03,6730,591533
2015-03,729,591410
2015-03,50,762465
2015-03,860,591333
2015-03,150,591271
2015-03,700,591361
2015-03,5462,591293
2015-03,1098,591535
2015-03,867,591392
2015-03,656,591407
2015-03,5347,591289
2015-03,600,591447
2015-03,688,591322
2015-03,854,591405
2015-03,2176,591537
2015-03,972,591352
2015-03,3607,591337
2015-03,782,591366
2015-03,15628,591280
2015-03,358,591476
2015-03,3705,591302
2015-03,344,591500
2015-03,810,591341
2015-03,238,591487
2015-03,528,591383
2015-03,494,591377
2015-03,4684,591429
2015-03,564,1786332
2015-03,707,591423
2015-03,938,591339
2015-03,1550,591300
2015-03,1734,591425
2015-03,612,591381
2015-03,3159,591427
2015-03,1218,591262
2015-03,537,591436
2015-03,1434,1065041
2015-03,364,591473
2015-03,3050,591284
2015-03,2398,591434
2015-03,508,591260
2015-03,4198,591304
2015-03,4208,591282
2015-03,1531,591438
2015-03,1101,591379
2015-03,520,591432
2015-03,1796,591502
2015-03,322,591278
2015-03,924,1159530
2015-03,776,591308
2015-04,402,591473
2015-04,3479,591361
2015-04,1506,591267
2015-04,2031,591535
2015-04,170,615246
2015-04,1367,591381
2015-04,1060,591352
2015-04,1007,591432
2015-04,5548,591427
2015-04,1364,591399
2015-04,635,591333
2015-04,15948,591456
2015-04,2475,591326
2015-04,2224,591319
2015-04,1220,591476
2015-04,11361,591280
2015-04,1106,591460
2015-04,103,762465
2015-04,1487,591410
2015-04,2510,591533
2015-04,1023,591379
2015-04,960,591377
2015-04,3776,591291
2015-04,8885,591445
2015-04,262,591271
2015-04,2642,591392
2015-04,4760,591289
2015-04,3166,591434
2015-04,342,591260
2015-04,9786,591324
2015-04,1597,591355
2015-04,1233,591359
2015-04,1964,591269
2015-04,3626,591451
2015-04,7259,591282
2015-04,1819,591341
2015-04,1561,591300
2015-04,1752,591403
2015-04,2609,591394
2015-04,2226,591539
2015-04,526,591458
2015-04,475,591487
2015-04,1855,591401
